Origin,Year,Enplanements
ATL,1990,"22,981,433"
ATL,1991,"17,979,191"
ATL,1992,"19,984,001"
ATL,1993,"22,584,423"
ATL,1994,"26,017,724"
ATL,1995,"28,007,894"
ATL,1996,"30,882,858"
ATL,1997,"33,217,169"
ATL,1998,"35,712,083"
ATL,1999,"38,057,042"
ATL,2000,"39,188,939"
ATL,2001,"37,059,912"
ATL,2002,"37,732,850"
ATL,2003,"38,852,007"
ATL,2004,"41,064,545"
ATL,2005,"42,326,757"
ATL,2006,"41,270,787"
ATL,2007,"43,122,584"
ATL,2008,"43,635,385"
ATL,2009,"42,155,204"
ATL,2010,"43,024,588"
ATL,2011,"44,273,809"
ATL,2012,"45,739,582"
ATL,2013,"45,303,327"
ATL,2014,"46,603,505"
ATL,2015,"49,347,895"
ATL,2016,"46,391,434"
ORD,1990,"26,723,145"
ORD,1991,"26,790,767"
ORD,1992,"29,691,859"
ORD,1993,"30,002,879"
ORD,1994,"30,891,229"
ORD,1995,"30,989,340"
ORD,1996,"31,693,374"
ORD,1997,"32,640,138"
ORD,1998,"34,081,119"
ORD,1999,"33,519,988"
ORD,2000,"33,149,827"
ORD,2001,"30,738,422"
ORD,2002,"30,750,009"
ORD,2003,"32,931,437"
ORD,2004,"36,098,878"
ORD,2005,"36,719,693"
ORD,2006,"36,843,483"
ORD,2007,"36,521,724"
ORD,2008,"33,683,816"
ORD,2009,"31,124,151"
ORD,2010,"32,170,122"
ORD,2011,"31,887,149"
ORD,2012,"32,166,139"
ORD,2013,"32,322,127"
ORD,2014,"33,827,585"
ORD,2015,"36,356,796"
ORD,2016,"34,649,215"
LAX,1990,"21,490,825"
LAX,1991,"21,530,661"
LAX,1992,"22,032,831"
LAX,1993,"22,302,783"
LAX,1994,"23,893,275"
LAX,1995,"25,447,741"
LAX,1996,"27,537,843"
LAX,1997,"27,877,938"
LAX,1998,"28,030,114"
LAX,1999,"29,714,206"
LAX,2000,"31,327,217"
LAX,2001,"28,573,422"
LAX,2002,"26,256,697"
LAX,2003,"26,204,604"
LAX,2004,"28,891,320"
LAX,2005,"29,344,597"
LAX,2006,"29,377,742"
LAX,2007,"30,111,863"
LAX,2008,"28,856,142"
LAX,2009,"27,496,850"
LAX,2010,"28,856,082"
LAX,2011,"30,525,573"
LAX,2012,"31,312,555"
LAX,2013,"32,439,978"
LAX,2014,"34,321,057"
LAX,2015,"36,460,589"
LAX,2016,"36,249,124"
DFW,1990,"23,079,416"
DFW,1991,"22,842,312"
DFW,1992,"24,614,147"
DFW,1993,"24,521,532"
DFW,1994,"25,338,767"
DFW,1995,"25,890,887"
DFW,1996,"26,488,543"
DFW,1997,"27,333,173"
DFW,1998,"27,909,562"
