Airport,Year,Month,Coach Passengers 
Kennedy International Airport,2002,1,30338
Kennedy International Airport,2002,2,26409
Kennedy International Airport,2002,3,36206
Kennedy International Airport,2002,4,29482
Kennedy International Airport,2002,5,42262
Kennedy International Airport,2002,6,44453
Kennedy International Airport,2002,7,44043
Kennedy International Airport,2002,8,48439
Kennedy International Airport,2002,9,47167
Kennedy International Airport,2002,10,46684
Kennedy International Airport,2002,11,39478
Kennedy International Airport,2002,12,47730
Kennedy International Airport,2003,1,37300
Kennedy International Airport,2003,2,31342
Kennedy International Airport,2003,3,40636
Kennedy International Airport,2003,4,35413
Kennedy International Airport,2003,5,43439
Kennedy International Airport,2003,6,49370
Kennedy International Airport,2003,7,49193
Kennedy International Airport,2003,8,54200
Kennedy International Airport,2003,9,50831
Kennedy International Airport,2003,10,48268
Kennedy International Airport,2003,11,44457
Kennedy International Airport,2003,12,47916
Kennedy International Airport,2004,1,33313
Kennedy International Airport,2004,2,30712
Kennedy International Airport,2004,3,42276
Kennedy International Airport,2004,4,41053
Kennedy International Airport,2004,5,52078
Kennedy International Airport,2004,6,56569
Kennedy International Airport,2004,7,51594
Kennedy International Airport,2004,8,56859
Kennedy International Airport,2004,9,57362
Kennedy International Airport,2004,10,54022
Kennedy International Airport,2004,11,47054
Kennedy International Airport,2004,12,48156
Kennedy International Airport,2005,1,39172
Kennedy International Airport,2005,2,34236
Kennedy International Airport,2005,3,49858
Kennedy International Airport,2005,4,46509
Kennedy International Airport,2005,5,54378
Kennedy International Airport,2005,6,55338
Kennedy International Airport,2005,7,48976
Kennedy International Airport,2005,8,51030
Kennedy International Airport,2005,9,51554
Kennedy International Airport,2005,10,44583
Kennedy International Airport,2005,11,43015
Kennedy International Airport,2005,12,45795
Kennedy International Airport,2006,1,36449
Kennedy International Airport,2006,2,29388
Kennedy International Airport,2006,3,42018
Kennedy International Airport,2006,4,40356
Kennedy International Airport,2006,5,48992
Kennedy International Airport,2006,6,51634
Kennedy International Airport,2006,7,45666
Kennedy International Airport,2006,8,47422
Kennedy International Airport,2006,9,46993
Kennedy International Airport,2006,10,44024
Kennedy International Airport,2006,11,39388
Kennedy International Airport,2006,12,41894
Kennedy International Airport,2007,1,34906
Kennedy International Airport,2007,2,28995
Kennedy International Airport,2007,3,40599
Kennedy International Airport,2007,4,39778
Kennedy International Airport,2007,5,48604
Kennedy International Airport,2007,6,49331
Kennedy International Airport,2007,7,41729
Kennedy International Airport,2007,8,46340
Kennedy International Airport,2007,9,47570
Kennedy International Airport,2007,10,43971
Kennedy International Airport,2007,11,38393
Kennedy International Airport,2007,12,39870
Kennedy International Airport,2008,1,33305
Kennedy International Airport,2008,2,28728
Kennedy International Airport,2008,3,39144
Kennedy International Airport,2008,4,36650
Kennedy International Airport,2008,5,48255
Kennedy International Airport,2008,6,47460
Kennedy International Airport,2008,7,43769
Kennedy International Airport,2008,8,48382
Kennedy International Airport,2008,9,45691
