Airport,Year,Month,Public Parking Counts at PA Airports 
Kennedy International Airport,2002,1,349019
Kennedy International Airport,2002,2,301327
Kennedy International Airport,2002,3,367110
Kennedy International Airport,2002,4,355947
Kennedy International Airport,2002,5,370167
Kennedy International Airport,2002,6,426258
Kennedy International Airport,2002,7,502426
Kennedy International Airport,2002,8,533359
Kennedy International Airport,2002,9,403954
Kennedy International Airport,2002,10,366481
Kennedy International Airport,2002,11,346275
Kennedy International Airport,2002,12,403146
Kennedy International Airport,2003,1,418212
Kennedy International Airport,2003,2,325456
Kennedy International Airport,2003,3,373830
Kennedy International Airport,2003,4,354575
Kennedy International Airport,2003,5,381612
Kennedy International Airport,2003,6,428817
Kennedy International Airport,2003,7,516725
Kennedy International Airport,2003,8,543811
Kennedy International Airport,2003,9,423272
Kennedy International Airport,2003,10,392119
Kennedy International Airport,2003,11,376034
Kennedy International Airport,2003,12,420684
Kennedy International Airport,2004,1,408441
Kennedy International Airport,2004,2,331856
Kennedy International Airport,2004,3,378522
Kennedy International Airport,2004,4,413591
Kennedy International Airport,2004,5,418821
Kennedy International Airport,2004,6,468077
Kennedy International Airport,2004,7,557464
Kennedy International Airport,2004,8,575492
Kennedy International Airport,2004,9,439458
Kennedy International Airport,2004,10,401957
Kennedy International Airport,2004,11,382416
Kennedy International Airport,2004,12,420263
Kennedy International Airport,2005,1,435868
Kennedy International Airport,2005,2,350764
Kennedy International Airport,2005,3,426279
Kennedy International Airport,2005,4,374927
Kennedy International Airport,2005,5,381752
Kennedy International Airport,2005,6,417249
Kennedy International Airport,2005,7,502945
Kennedy International Airport,2005,8,498177
Kennedy International Airport,2005,9,381254
Kennedy International Airport,2005,10,335146
Kennedy International Airport,2005,11,318337
Kennedy International Airport,2005,12,340793
Kennedy International Airport,2006,1,341538
Kennedy International Airport,2006,2,271913
Kennedy International Airport,2006,3,326187
Kennedy International Airport,2006,4,343421
Kennedy International Airport,2006,5,336778
Kennedy International Airport,2006,6,382700
Kennedy International Airport,2006,7,450070
Kennedy International Airport,2006,8,453017
Kennedy International Airport,2006,9,355978
Kennedy International Airport,2006,10,319331
Kennedy International Airport,2006,11,309669
Kennedy International Airport,2006,12,385036
Kennedy International Airport,2007,1,384936
Kennedy International Airport,2007,2,304760
Kennedy International Airport,2007,3,375416
Kennedy International Airport,2007,4,375256
Kennedy International Airport,2007,5,386471
Kennedy International Airport,2007,6,436100
Kennedy International Airport,2007,7,492123
Kennedy International Airport,2007,8,496012
Kennedy International Airport,2007,9,395133
Kennedy International Airport,2007,10,367860
Kennedy International Airport,2007,11,356220
Kennedy International Airport,2007,12,386444
Kennedy International Airport,2008,1,375382
Kennedy International Airport,2008,2,322635
Kennedy International Airport,2008,3,370469
Kennedy International Airport,2008,4,359060
Kennedy International Airport,2008,5,377978
Kennedy International Airport,2008,6,420422
Kennedy International Airport,2008,7,471450
Kennedy International Airport,2008,8,480045
Kennedy International Airport,2008,9,365967
Kennedy International Airport,2008,10,345239
Kennedy International Airport,2008,11,327457
Kennedy International Airport,2008,12,354895
Kennedy International Airport,2009,1,341941
Kennedy International Airport,2009,2,286336
Kennedy International Airport,2009,3,334271
Kennedy International Airport,2009,4,352347
Kennedy International Airport,2009,5,361505
Kennedy International Airport,2009,6,406380
Kennedy International Airport,2009,7,460103
Kennedy International Airport,2009,8,471519
Kennedy International Airport,2009,9,366512
Kennedy International Airport,2009,10,346661
Kennedy International Airport,2009,11,318126
Kennedy International Airport,2009,12,347352
Kennedy International Airport,2010,1,339114
Kennedy International Airport,2010,2,271392
Kennedy International Airport,2010,3,337086
Kennedy International Airport,2010,4,327943
Kennedy International Airport,2010,5,358404
Kennedy International Airport,2010,6,399066
Kennedy International Airport,2010,7,454695
Kennedy International Airport,2010,8,458248
Kennedy International Airport,2010,9,367810
Kennedy International Airport,2010,10,351967
Kennedy International Airport,2010,11,325644
Kennedy International Airport,2010,12,346203
Kennedy International Airport,2011,1,333166
Kennedy International Airport,2011,2,271014
Kennedy International Airport,2011,3,331169
Kennedy International Airport,2011,4,343751
Kennedy International Airport,2011,5,364680
Kennedy International Airport,2011,6,388817
