Airport,Year,Month,Shared Ride Passengers 
Kennedy International Airport,2005,1,20778
Kennedy International Airport,2005,2,20816
Kennedy International Airport,2005,3,26850
Kennedy International Airport,2005,4,27261
Kennedy International Airport,2005,5,29432
Kennedy International Airport,2005,6,27721
Kennedy International Airport,2005,7,28165
Kennedy International Airport,2005,8,26675
Kennedy International Airport,2005,9,25503
Kennedy International Airport,2005,10,25770
Kennedy International Airport,2005,11,22134
Kennedy International Airport,2005,12,25769
Kennedy International Airport,2006,1,18308
Kennedy International Airport,2006,2,16968
Kennedy International Airport,2006,3,23575
Kennedy International Airport,2006,4,25768
Kennedy International Airport,2006,5,24205
Kennedy International Airport,2006,6,23265
Kennedy International Airport,2006,7,24149
Kennedy International Airport,2006,8,24924
Kennedy International Airport,2006,9,23772
Kennedy International Airport,2006,10,22897
Kennedy International Airport,2006,11,20035
Kennedy International Airport,2006,12,23500
Kennedy International Airport,2007,1,17972
Kennedy International Airport,2007,2,16189
Kennedy International Airport,2007,3,20116
Kennedy International Airport,2007,4,16842
Kennedy International Airport,2007,5,23015
Kennedy International Airport,2007,6,19491
Kennedy International Airport,2007,7,21707
Kennedy International Airport,2007,8,24224
Kennedy International Airport,2007,9,20117
Kennedy International Airport,2007,10,21671
Kennedy International Airport,2007,11,20471
Kennedy International Airport,2007,12,24712
Kennedy International Airport,2008,1,17429
Kennedy International Airport,2008,2,17469
Kennedy International Airport,2008,3,22218
Kennedy International Airport,2008,4,23015
Kennedy International Airport,2008,5,25651
Kennedy International Airport,2008,6,23656
Kennedy International Airport,2008,7,24477
Kennedy International Airport,2008,8,24389
Kennedy International Airport,2008,9,22209
Kennedy International Airport,2008,10,21957
Kennedy International Airport,2008,11,20123
Kennedy International Airport,2008,12,20470
Kennedy International Airport,2009,1,15704
Kennedy International Airport,2009,2,16117
Kennedy International Airport,2009,3,19583
Kennedy International Airport,2009,4,27639
Kennedy International Airport,2009,5,27116
Kennedy International Airport,2009,6,25850
Kennedy International Airport,2009,7,25783
Kennedy International Airport,2009,8,25859
Kennedy International Airport,2009,9,28072
Kennedy International Airport,2009,10,27951
Kennedy International Airport,2009,11,22751
Kennedy International Airport,2009,12,28273
Kennedy International Airport,2010,1,17407
Kennedy International Airport,2010,2,17488
Kennedy International Airport,2010,3,25162
Kennedy International Airport,2010,4,25736
Kennedy International Airport,2010,5,29523
Kennedy International Airport,2010,6,26310
Kennedy International Airport,2010,7,28315
Kennedy International Airport,2010,8,31179
Kennedy International Airport,2010,9,27668
Kennedy International Airport,2010,10,28541
Kennedy International Airport,2010,11,22095
Kennedy International Airport,2010,12,26151
Kennedy International Airport,2011,1,18835
Kennedy International Airport,2011,2,18587
Kennedy International Airport,2011,3,26632
Kennedy International Airport,2011,4,31568
Kennedy International Airport,2011,5,29864
Kennedy International Airport,2011,6,27531
Kennedy International Airport,2011,7,29488
Kennedy International Airport,2011,8,31003
Kennedy International Airport,2011,9,29196
Kennedy International Airport,2011,10,29573
Kennedy International Airport,2011,11,22173
Kennedy International Airport,2011,12,28034
Kennedy International Airport,2012,1,18315
Kennedy International Airport,2012,2,20116
Kennedy International Airport,2012,3,28584
Kennedy International Airport,2012,4,33727
Kennedy International Airport,2012,5,33664
Kennedy International Airport,2012,6,33437
Kennedy International Airport,2012,7,34927
Kennedy International Airport,2012,8,39139
Kennedy International Airport,2012,9,35312
Kennedy International Airport,2012,10,33018
Kennedy International Airport,2012,11,28851
Kennedy International Airport,2012,12,35145
Kennedy International Airport,2013,1,22984
Kennedy International Airport,2013,2,22173
Kennedy International Airport,2013,3,32779
Kennedy International Airport,2013,4,35435
Kennedy International Airport,2013,5,38986
Kennedy International Airport,2013,6,37380
Kennedy International Airport,2013,7,37080
Kennedy International Airport,2013,8,43003
Kennedy International Airport,2013,9,36938
Kennedy International Airport,2013,10,36105
Kennedy International Airport,2013,11,28642
Kennedy International Airport,2013,12,34943
Kennedy International Airport,2014,1,23128
Kennedy International Airport,2014,2,22363
Kennedy International Airport,2014,3,31991
Kennedy International Airport,2014,4,42571
Kennedy International Airport,2014,5,39631
Kennedy International Airport,2014,6,35119
Kennedy International Airport,2014,7,36927
Kennedy International Airport,2014,8,42704
Kennedy International Airport,2014,9,36436
Kennedy International Airport,2014,10,35071
Kennedy International Airport,2014,11,27714
Kennedy International Airport,2014,12,35984
Kennedy International Airport,2015,1,21262
Kennedy International Airport,2015,2,21542
Kennedy International Airport,2015,3,30900
Kennedy International Airport,2015,4,38420
Kennedy International Airport,2015,5,39939
Kennedy International Airport,2015,6,37276
Kennedy International Airport,2015,7,40402
Kennedy International Airport,2015,8,43891
Kennedy International Airport,2015,9,39949
Kennedy International Airport,2015,10,40959
Kennedy International Airport,2015,11,32958
Kennedy International Airport,2015,12,42142
Newark Liberty International Airport,2005,1,10219
Newark Liberty International Airport,2005,2,9800
Newark Liberty International Airport,2005,3,10978
Newark Liberty International Airport,2005,4,12735
Newark Liberty International Airport,2005,5,14613
Newark Liberty International Airport,2005,6,13917
Newark Liberty International Airport,2005,7,14319
Newark Liberty International Airport,2005,8,14526
Newark Liberty International Airport,2005,9,13820
Newark Liberty International Airport,2005,10,14623
Newark Liberty International Airport,2005,11,13544
Newark Liberty International Airport,2005,12,15372
Newark Liberty International Airport,2006,1,10315
Newark Liberty International Airport,2006,2,9609
Newark Liberty International Airport,2006,3,13017
Newark Liberty International Airport,2006,4,13764
Newark Liberty International Airport,2006,5,13457
Newark Liberty International Airport,2006,6,13872
Newark Liberty International Airport,2006,7,13840
Newark Liberty International Airport,2006,8,13917
Newark Liberty International Airport,2006,9,12308
Newark Liberty International Airport,2006,10,13320
Newark Liberty International Airport,2006,11,12649
Newark Liberty International Airport,2006,12,12865
Newark Liberty International Airport,2007,1,8935
Newark Liberty International Airport,2007,2,8775
Newark Liberty International Airport,2007,3,11932
Newark Liberty International Airport,2007,4,13568
Newark Liberty International Airport,2007,5,13175
