Airport,Year,Month,Shared Ride Reservation
Kennedy International Airport,2005,1,14691
Kennedy International Airport,2005,2,13348
Kennedy International Airport,2005,3,16661
Kennedy International Airport,2005,4,16621
Kennedy International Airport,2005,5,18781
Kennedy International Airport,2005,6,17499
Kennedy International Airport,2005,7,16625
Kennedy International Airport,2005,8,16103
Kennedy International Airport,2005,9,16322
Kennedy International Airport,2005,10,15731
Kennedy International Airport,2005,11,14018
Kennedy International Airport,2005,12,14731
Kennedy International Airport,2006,1,13194
Kennedy International Airport,2006,2,11121
Kennedy International Airport,2006,3,15076
Kennedy International Airport,2006,4,14911
Kennedy International Airport,2006,5,15346
Kennedy International Airport,2006,6,14466
Kennedy International Airport,2006,7,14240
Kennedy International Airport,2006,8,15135
Kennedy International Airport,2006,9,15110
Kennedy International Airport,2006,10,14149
Kennedy International Airport,2006,11,12590
Kennedy International Airport,2006,12,13531
Kennedy International Airport,2007,1,12563
Kennedy International Airport,2007,2,10551
Kennedy International Airport,2007,3,11787
Kennedy International Airport,2007,4,10629
Kennedy International Airport,2007,5,14278
Kennedy International Airport,2007,6,12142
Kennedy International Airport,2007,7,12500
Kennedy International Airport,2007,8,14143
Kennedy International Airport,2007,9,12673
Kennedy International Airport,2007,10,12781
Kennedy International Airport,2007,11,12551
Kennedy International Airport,2007,12,12724
Kennedy International Airport,2008,1,11717
Kennedy International Airport,2008,2,10812
Kennedy International Airport,2008,3,13333
Kennedy International Airport,2008,4,13381
Kennedy International Airport,2008,5,15084
Kennedy International Airport,2008,6,13793
Kennedy International Airport,2008,7,13241
Kennedy International Airport,2008,8,13650
Kennedy International Airport,2008,9,13542
Kennedy International Airport,2008,10,12877
Kennedy International Airport,2008,11,12088
Kennedy International Airport,2008,12,9290
Kennedy International Airport,2009,1,10827
Kennedy International Airport,2009,2,10158
Kennedy International Airport,2009,3,12557
Kennedy International Airport,2009,4,15260
Kennedy International Airport,2009,5,16071
Kennedy International Airport,2009,6,15320
Kennedy International Airport,2009,7,14014
Kennedy International Airport,2009,8,14150
Kennedy International Airport,2009,9,16464
Kennedy International Airport,2009,10,15646
Kennedy International Airport,2009,11,13633
Kennedy International Airport,2009,12,14921
Kennedy International Airport,2010,1,11583
Kennedy International Airport,2010,2,10250
Kennedy International Airport,2010,3,14233
Kennedy International Airport,2010,4,13931
Kennedy International Airport,2010,5,16628
Kennedy International Airport,2010,6,15107
Kennedy International Airport,2010,7,14537
Kennedy International Airport,2010,8,16720
Kennedy International Airport,2010,9,15905
Kennedy International Airport,2010,10,15892
Kennedy International Airport,2010,11,13139
Kennedy International Airport,2010,12,13811
Kennedy International Airport,2011,1,12517
Kennedy International Airport,2011,2,10951
Kennedy International Airport,2011,3,15624
Kennedy International Airport,2011,4,15964
Kennedy International Airport,2011,5,17029
Kennedy International Airport,2011,6,15431
Kennedy International Airport,2011,7,14979
Kennedy International Airport,2011,8,16235
Kennedy International Airport,2011,9,16553
Kennedy International Airport,2011,10,16001
Kennedy International Airport,2011,11,13102
Kennedy International Airport,2011,12,14166
Kennedy International Airport,2012,1,11860
Kennedy International Airport,2012,2,11700
Kennedy International Airport,2012,3,16258
Kennedy International Airport,2012,4,17104
Kennedy International Airport,2012,5,18875
Kennedy International Airport,2012,6,18253
Kennedy International Airport,2012,7,17503
Kennedy International Airport,2012,8,20591
Kennedy International Airport,2012,9,19621
Kennedy International Airport,2012,10,18231
Kennedy International Airport,2012,11,17097
Kennedy International Airport,2012,12,17842
Kennedy International Airport,2013,1,14715
Kennedy International Airport,2013,2,12789
Kennedy International Airport,2013,3,17442
Kennedy International Airport,2013,4,18313
