Airport,Year,Month,Taxi Dispatched 
Kennedy International Airport,2002,1,154245
Kennedy International Airport,2002,2,132553
Kennedy International Airport,2002,3,170990
Kennedy International Airport,2002,4,170926
Kennedy International Airport,2002,5,174781
Kennedy International Airport,2002,6,173452
Kennedy International Airport,2002,7,177482
Kennedy International Airport,2002,8,191258
Kennedy International Airport,2002,9,176218
Kennedy International Airport,2002,10,188771
Kennedy International Airport,2002,11,170756
Kennedy International Airport,2002,12,189012
Kennedy International Airport,2003,1,183162
Kennedy International Airport,2003,2,152600
Kennedy International Airport,2003,3,179642
Kennedy International Airport,2003,4,160130
Kennedy International Airport,2003,5,184765
Kennedy International Airport,2003,6,187269
Kennedy International Airport,2003,7,195219
Kennedy International Airport,2003,8,200814
Kennedy International Airport,2003,9,195833
Kennedy International Airport,2003,10,190874
Kennedy International Airport,2003,11,186881
Kennedy International Airport,2003,12,192176
Kennedy International Airport,2004,1,193475
Kennedy International Airport,2004,2,177751
Kennedy International Airport,2004,3,217106
Kennedy International Airport,2004,4,211238
Kennedy International Airport,2004,5,199536
Kennedy International Airport,2004,6,200093
Kennedy International Airport,2004,7,198092
Kennedy International Airport,2004,8,209786
Kennedy International Airport,2004,9,204790
Kennedy International Airport,2004,10,200302
Kennedy International Airport,2004,11,195218
Kennedy International Airport,2004,12,191513
Kennedy International Airport,2005,1,217816
Kennedy International Airport,2005,2,187758
Kennedy International Airport,2005,3,228789
Kennedy International Airport,2005,4,219208
Kennedy International Airport,2005,5,236151
Kennedy International Airport,2005,6,224397
Kennedy International Airport,2005,7,222395
Kennedy International Airport,2005,8,226843
Kennedy International Airport,2005,9,223606
Kennedy International Airport,2005,10,207334
Kennedy International Airport,2005,11,202369
Kennedy International Airport,2005,12,205831
Kennedy International Airport,2006,1,216898
Kennedy International Airport,2006,2,182946
Kennedy International Airport,2006,3,227146
Kennedy International Airport,2006,4,224804
Kennedy International Airport,2006,5,229254
Kennedy International Airport,2006,6,220799
Kennedy International Airport,2006,7,226198
Kennedy International Airport,2006,8,232272
Kennedy International Airport,2006,9,224838
Kennedy International Airport,2006,10,226889
Kennedy International Airport,2006,11,232954
Kennedy International Airport,2006,12,219472
Kennedy International Airport,2007,1,227421
Kennedy International Airport,2007,2,198155
Kennedy International Airport,2007,3,236789
Kennedy International Airport,2007,4,245281
Kennedy International Airport,2007,5,253241
Kennedy International Airport,2007,6,248769
Kennedy International Airport,2007,7,245595
Kennedy International Airport,2007,8,260030
Kennedy International Airport,2007,9,239014
Kennedy International Airport,2007,10,258161
Kennedy International Airport,2007,11,248494
Kennedy International Airport,2007,12,239542
Kennedy International Airport,2008,1,236784
Kennedy International Airport,2008,2,213694
Kennedy International Airport,2008,3,253238
Kennedy International Airport,2008,4,248069
Kennedy International Airport,2008,5,262828
Kennedy International Airport,2008,6,257867
Kennedy International Airport,2008,7,252086
Kennedy International Airport,2008,8,266043
Kennedy International Airport,2008,9,246178
Kennedy International Airport,2008,10,239102
Kennedy International Airport,2008,11,214648
Kennedy International Airport,2008,12,228590
Kennedy International Airport,2009,1,209646
Kennedy International Airport,2009,2,186532
Kennedy International Airport,2009,3,228477
Kennedy International Airport,2009,4,231679
Kennedy International Airport,2009,5,239822
Kennedy International Airport,2009,6,230439
Kennedy International Airport,2009,7,224927
Kennedy International Airport,2009,8,253594
Kennedy International Airport,2009,9,249693
Kennedy International Airport,2009,10,258186
Kennedy International Airport,2009,11,237609
Kennedy International Airport,2009,12,248229
Kennedy International Airport,2010,1,237638
Kennedy International Airport,2010,2,208248
Kennedy International Airport,2010,3,253265
Kennedy International Airport,2010,4,240455
Kennedy International Airport,2010,5,268163
Kennedy International Airport,2010,6,263559
Kennedy International Airport,2010,7,259184
Kennedy International Airport,2010,8,274191
Kennedy International Airport,2010,9,248388
Kennedy International Airport,2010,10,274332
Kennedy International Airport,2010,11,253358
Kennedy International Airport,2010,12,234972
Kennedy International Airport,2011,1,242298
Kennedy International Airport,2011,2,208644
Kennedy International Airport,2011,3,270817
Kennedy International Airport,2011,4,270976
Kennedy International Airport,2011,5,289299
Kennedy International Airport,2011,6,275755
Kennedy International Airport,2011,7,274426
Kennedy International Airport,2011,8,274334
Kennedy International Airport,2011,9,283962
Kennedy International Airport,2011,10,289861
Kennedy International Airport,2011,11,265487
Kennedy International Airport,2011,12,248957
Kennedy International Airport,2012,1,250856
Kennedy International Airport,2012,2,230279
