"","Airport","Year","Month","Coach.Passengers","Public.Parking.Counts.at.PA.Airports","Shared.Ride.Passengers.x","Shared.Ride.Passengers.y","Taxi.Dispatched","Domestic.Passengers","International.Passengers","Total.Passengers"
"1","EWR",1977,1,NA,NA,NA,NA,NA,531581,9714,541295
"2","EWR",1977,2,NA,NA,NA,NA,NA,497774,12716,510490
"3","EWR",1977,3,NA,NA,NA,NA,NA,571872,17706,589578
"4","EWR",1977,4,NA,NA,NA,NA,NA,601788,23234,625022
"5","EWR",1977,5,NA,NA,NA,NA,NA,554973,21098,576071
"6","EWR",1977,6,NA,NA,NA,NA,NA,601233,20141,621374
"7","EWR",1977,7,NA,NA,NA,NA,NA,649929,25804,675733
"8","EWR",1977,8,NA,NA,NA,NA,NA,666594,28001,694595
"9","EWR",1977,9,NA,NA,NA,NA,NA,567372,20005,587377
"10","EWR",1977,10,NA,NA,NA,NA,NA,606764,19113,625877
"11","EWR",1977,11,NA,NA,NA,NA,NA,608185,16706,624891
"12","EWR",1977,12,NA,NA,NA,NA,NA,620236,9112,629348
"13","EWR",1978,1,NA,NA,NA,NA,NA,587824,8529,596353
"14","EWR",1978,2,NA,NA,NA,NA,NA,547916,10094,558010
"15","EWR",1978,3,NA,NA,NA,NA,NA,715219,19189,734408
"16","EWR",1978,4,NA,NA,NA,NA,NA,680825,19834,700659
"17","EWR",1978,5,NA,NA,NA,NA,NA,686437,29249,715686
"18","EWR",1978,6,NA,NA,NA,NA,NA,703427,28009,731436
"19","EWR",1978,7,NA,NA,NA,NA,NA,753650,36523,790173
"20","EWR",1978,8,NA,NA,NA,NA,NA,797689,36698,834387
"21","EWR",1978,9,NA,NA,NA,NA,NA,669873,25655,695528
"22","EWR",1978,10,NA,NA,NA,NA,NA,691071,26063,717134
"23","EWR",1978,11,NA,NA,NA,NA,NA,686047,16983,703030
"24","EWR",1978,12,NA,NA,NA,NA,NA,677936,13742,691678
"25","EWR",1979,1,NA,NA,NA,NA,NA,668233,15542,683775
"26","EWR",1979,2,NA,NA,NA,NA,NA,647702,18059,665761
"27","EWR",1979,3,NA,NA,NA,NA,NA,776863,20298,797161
"28","EWR",1979,4,NA,NA,NA,NA,NA,733117,40054,773171
"29","EWR",1979,5,NA,NA,NA,NA,NA,753146,47026,800172
"30","EWR",1979,6,NA,NA,NA,NA,NA,764736,41842,806578
"31","EWR",1979,7,NA,NA,NA,NA,NA,820392,47940,868332
"32","EWR",1979,8,NA,NA,NA,NA,NA,903776,41455,945231
"33","EWR",1979,9,NA,NA,NA,NA,NA,709615,27026,736641
"34","EWR",1979,10,NA,NA,NA,NA,NA,735697,28316,764013
"35","EWR",1979,11,NA,NA,NA,NA,NA,736356,15493,751849
"36","EWR",1979,12,NA,NA,NA,NA,NA,691501,12557,704058
"37","EWR",1980,1,NA,NA,NA,NA,NA,679806,11151,690957
"38","EWR",1980,2,NA,NA,NA,NA,NA,676298,13000,689298
"39","EWR",1980,3,NA,NA,NA,NA,NA,773541,16678,790219
"40","EWR",1980,4,NA,NA,NA,NA,NA,822562,19050,841612
"41","EWR",1980,5,NA,NA,NA,NA,NA,773797,23644,797441
"42","EWR",1980,6,NA,NA,NA,NA,NA,807849,22961,830810
"43","EWR",1980,7,NA,NA,NA,NA,NA,816321,24675,840996
"44","EWR",1980,8,NA,NA,NA,NA,NA,852387,22828,875215
"45","EWR",1980,9,NA,NA,NA,NA,NA,686687,14637,701324
"46","EWR",1980,10,NA,NA,NA,NA,NA,740678,15088,755766
"47","EWR",1980,11,NA,NA,NA,NA,NA,678989,12284,691273
"48","EWR",1980,12,NA,NA,NA,NA,NA,711799,6420,718219
"49","EWR",1981,1,NA,NA,NA,NA,NA,683598,4908,688506
"50","EWR",1981,2,NA,NA,NA,NA,NA,673055,5084,678139
"51","EWR",1981,3,NA,NA,NA,NA,NA,731444,7053,738497
"52","EWR",1981,4,NA,NA,NA,NA,NA,763972,11723,775695
"53","EWR",1981,5,NA,NA,NA,NA,NA,840418,13829,854247
"54","EWR",1981,6,NA,NA,NA,NA,NA,860528,22153,882681
"55","EWR",1981,7,NA,NA,NA,NA,NA,926348,33818,960166
"56","EWR",1981,8,NA,NA,NA,NA,NA,926142,33352,959494
"57","EWR",1981,9,NA,NA,NA,NA,NA,859953,18786,878739
"58","EWR",1981,10,NA,NA,NA,NA,NA,963998,14099,978097
"59","EWR",1981,11,NA,NA,NA,NA,NA,900788,9447,910235
"60","EWR",1981,12,NA,NA,NA,NA,NA,869180,7792,876972
"61","EWR",1982,1,NA,NA,NA,NA,NA,813026,10298,823324
"62","EWR",1982,2,NA,NA,NA,NA,NA,798631,11490,810121
"63","EWR",1982,3,NA,NA,NA,NA,NA,951290,16693,967983
"64","EWR",1982,4,NA,NA,NA,NA,NA,1022220,18885,1041105
"65","EWR",1982,5,NA,NA,NA,NA,NA,955846,24303,980149
"66","EWR",1982,6,NA,NA,NA,NA,NA,975759,26315,1002074
"67","EWR",1982,7,NA,NA,NA,NA,NA,1041046,31240,1072286
"68","EWR",1982,8,NA,NA,NA,NA,NA,1074945,32302,1107247
"69","EWR",1982,9,NA,NA,NA,NA,NA,929714,22079,951793
"70","EWR",1982,10,NA,NA,NA,NA,NA,1069314,17564,1086878
"71","EWR",1982,11,NA,NA,NA,NA,NA,1078461,21344,1099805
"72","EWR",1982,12,NA,NA,NA,NA,NA,1131266,13758,1145024
"73","EWR",1983,1,NA,NA,NA,NA,NA,1166404,13151,1179555
"74","EWR",1983,2,NA,NA,NA,NA,NA,1089158,14403,1103561
"75","EWR",1983,3,NA,NA,NA,NA,NA,1333014,20877,1353891
"76","EWR",1983,4,NA,NA,NA,NA,NA,1270088,23703,1293791
"77","EWR",1983,5,NA,NA,NA,NA,NA,1301830,26833,1328663
"78","EWR",1983,6,NA,NA,NA,NA,NA,1486098,38825,1524923
